1	Manchester United	468	167	46	21	508	156		125	61	48	419	273		+498	983	.738
2	Arsenal	468	144	58	32	436	194		100	73	61	320	220		+342	863	.661
3	Liverpool	468	140	55	39	442	198		83	67	84	317	288		+273	791	.607
4	Chelsea	468	128	63	43	411	216		75	72	87	293	303		+185	744	.578
5	Leeds United	468	118	60	56	357	231		71	65	98	284	342		+68	692	.537
6	Newcastle United	426	131	44	38	414	199		60	67	86	253	308		+160	684	.579
7	Aston Villa	468	112	66	56	325	220		69	69	96	256	305		+56	678	.531
8	Tottenham Hotspur	468	105	63	66	363	289		58	59	117	253	364		-37	611	.479
9	Blackburn Rovers	392	105	43	48	338	208		57	61	78	229	260		+99	590	.546
10	Everton	468	93	72	69	335	270		52	59	123	237	374		-72	566	.450
11	Southampton	468	102	61	71	328	269		42	62	130	225	403		-119	555	.439
12	West Ham United	388	89	53	52	287	221		43	51	100	175	314		-73	500	.474
13	Middlesbrough	346	68	50	55	244	216		37	51	85	161	262		-73	413	.449
14	Coventry City	354	65	56	56	219	199		34	56	87	168	291		-103	409	.438
15	Sheffield Wednesday	316	63	50	45	234	187		38	39	81	175	266		-44	392	.460
16	Wimbledon	316	62	46	50	218	198		37	48	73	166	274		-88	391	.462
17	Leicester City	308	51	51	52	189	212		33	39	82	165	244		-102	342	.419
18	Manchester City	278	46	46	47	191	175		31	38	70	132	220		-72	315	.428
19	Derby County	228	47	30	37	145	134		20	32	62	106	197		-80	263	.430
20	Nottingham Forest	198	35	32	32	115	118		25	27	47	114	169		-58	239	.452
21	Charlton Athletic	190	35	27	33	129	128		25	27	43	96	141		-44	234	.458
22	Ipswich Town	202	35	29	37	125	127		22	24	55	94	185		-93	224	.413
23	Queens Park Rangers	164	36	20	26	134	113		23	19	40	90	119		-8	216	.479
24	Sunderland	190	36	28	31	101	98		19	21	55	87	168		-78	214	.418
25	Bolton Wanderers	190	30	35	30	112	129		20	21	54	101	172		-88	206	.411
26	Norwich City	126	25	23	15	84	69		18	16	29	79	111		-17	168	.496
27	Fulham	114	27	14	16	76	55		10	19	28	53	85		-11	144	.469
28	Crystal Palace	122	14	20	27	58	87		16	17	28	61	94		-62	127	.398
29	Birmingham City	76	16	10	12	51	47		9	13	16	33	50		-13	98	.480
30	Sheffield United	84	16	16	10	57	42		6	12	24	39	71		-17	94	.429
31	Oldham Athletic	84	15	14	13	67	63		7	9	26	38	79		-37	89	.399
32	Bradford City	76	10	15	13	46	58		4	5	29	22	80		-70	62	.316
33	Portsmouth	38	10	4	5	35	19		2	5	12	12	35		-7	45	.434
34	Barnsley	38	7	4	8	25	35		3	1	15	12	47		-45	35	.329
35	Wolverhampton Wndrs	38	7	5	7	23	35		0	7	12	15	42		-39	33	.342
36	Swindon Town	42	4	7	10	25	45		1	8	12	22	55		-53	30	.298
37	West Bromwich Albion	38	3	5	11	17	34		3	3	13	12	31		-36	26	.263
38	Watford	38	5	4	10	24	31		1	2	16	11	46		-42	24	.237
