1,Manchester United,898,1770,1.971
2,Arsenal,898,1578,1.7572
3,Chelsea,898,1517,1.6893
4,Liverpool,898,1473,1.6403
5,Manchester City,708,1048,1.4802
6,Blackpool,38,55,1.4474
7,Tottenham Hotspur,898,1271,1.4154
8,Newcastle United,818,1137,1.39
9,Leeds United,468,641,1.3697
10,Blackburn Rovers,696,927,1.3319
11,Sheffield Wednesday,316,409,1.2943
12,Everton,898,1158,1.2895
13,Oldham Athletic,84,105,1.25
14,Swansea City,164,203,1.2378
15,Aston Villa,898,1100,1.2249
16,Southampton,632,774,1.2247
17,Queens Park Rangers,278,339,1.2194
18,Wimbledon,316,384,1.2152
19,Reading,114,136,1.193
20,Leicester City,358,425,1.1872
21,Norwich City,290,342,1.1793
22,West Ham United,742,875,1.1792
23,Bolton Wanderers,494,575,1.164
24,Middlesbrough,536,621,1.1586
25,Nottingham Forest,198,229,1.1566
26,Fulham,494,570,1.1538
27,Charlton Athletic,304,342,1.125
28,Swindon Town,42,47,1.119
29,Portsmouth,266,292,1.0977
30,Coventry City,354,387,1.0932
31,Ipswich Town,202,219,1.0842
32,West Bromwich Albion,354,377,1.065
33,Sheffield United,122,128,1.0492
34,Stoke City,278,291,1.0468
35,Wigan Athletic,304,316,1.0395
36,Birmingham City,266,273,1.0263
37,Wolverhampton Wndrs,152,156,1.0263
38,Crystal Palace,248,254,1.0242
39,Derby County,266,271,1.0188
40,Sunderland,544,548,1.0074
41,AFC Bournemouth,12,12,1
42,Barnsley,38,37,0.9737
43,Hull City,152,144,0.9474
44,Burnley,76,70,0.9211
45,Bradford City,76,68,0.8947
46,Watford,88,75,0.8523
47,AFC Bournemouth,14,10,0.7143
