1,Manchester United,898,1910,2.1269
2,Arsenal,898,1702,1.8953
3,Chelsea,898,1657,1.8452
4,Liverpool,898,1558,1.735
5,Manchester City,708,1053,1.4873
6,Leeds United,468,692,1.4786
7,Tottenham Hotspur,898,1312,1.461
8,Newcastle United,818,1156,1.4132
9,Blackburn Rovers,696,970,1.3937
10,Everton,898,1233,1.3731
11,Aston Villa,898,1211,1.3486
12,Swansea City,164,204,1.2439
13,Stoke City,278,345,1.241
14,Sheffield Wednesday,316,392,1.2405
15,Wimbledon,316,391,1.2373
16,West Ham United,742,918,1.2372
17,Southampton,632,764,1.2089
18,Nottingham Forest,198,239,1.2071
19,Charlton Athletic,304,361,1.1875
20,Fulham,494,586,1.1862
21,Middlesbrough,536,633,1.181
22,Bolton Wanderers,494,575,1.164
23,Norwich City,290,337,1.1621
24,Coventry City,354,409,1.1554
25,Leicester City,358,408,1.1397
26,Birmingham City,266,301,1.1316
27,Ipswich Town,202,224,1.1089
28,Queens Park Rangers,278,308,1.1079
29,Portsmouth,266,293,1.1015
30,Crystal Palace,248,272,1.0968
31,Wigan Athletic,304,331,1.0888
32,Sheffield United,122,132,1.082
33,Oldham Athletic,84,89,1.0595
34,Reading,114,119,1.0439
35,Sunderland,544,561,1.0313
36,Derby County,266,274,1.0301
37,Blackpool,38,39,1.0263
38,West Bromwich Albion,354,359,1.0141
39,Barnsley,38,35,0.9211
40,Hull City,152,137,0.9013
41,Wolverhampton Wndrs,152,136,0.8947
42,Burnley,76,63,0.8289
43,Bradford City,76,62,0.8158
44,Cardiff City,38,30,0.7895
45,Watford,88,68,0.7727
46,Swindon Town,42,30,0.7143
47,AFC Bournemouth,14,10,0.7143
