1	Chelsea	456	164	49	15	490	151		131	47	50	374	199		+514	981	.752
2	Manchester United	456	173	29	26	509	165		125	55	48	381	224		+501	978	.746
3	Arsenal	456	153	53	22	497	184		111	58	59	376	259		+430	903	.701
4	Liverpool	456	141	56	31	435	170		92	55	81	321	275		+311	810	.633
5	Manchester City	456	139	43	46	437	198		78	59	91	317	306		+250	753	.588
6	Tottenham Hotspur	456	128	52	48	400	244		77	58	93	282	330		+108	725	.570
7	Everton	456	120	57	51	363	227		65	77	86	248	294		+90	689	.553
8	Aston Villa	456	83	74	71	289	255		64	69	95	268	374		-72	584	.479
9	Newcastle United	418	90	58	61	301	259		45	55	109	208	349		-99	518	.458
10	Fulham	418	94	46	69	302	265		33	67	109	191	338		-110	494	.439
11	Blackburn Rovers	342	69	46	56	232	204		43	42	86	179	294		-87	424	.456
12	Bolton Wanderers	342	69	48	54	231	205		44	35	92	179	295		-90	422	.452
13	West Ham United	342	70	37	64	239	223		35	45	91	151	273		-106	397	.427
14	Sunderland	342	53	48	70	196	219		30	44	97	151	288		-160	341	.377
15	Wigan Athletic	304	48	45	59	169	215		37	31	84	147	267		-166	331	.405
16	Stoke City	266	61	39	33	182	135		23	38	72	99	211		-65	329	.461
17	West Bromwich Albion	304	52	39	61	195	211		26	46	80	143	265		-138	319	.396
18	Portsmouth	266	54	34	45	184	159		25	31	77	108	221		-88	293	.419
19	Middlesbrough	228	46	32	36	157	139		22	32	60	103	176		-55	268	.439
20	Birmingham City	228	42	41	31	137	117		18	32	64	95	194		-79	253	.423
21	Southampton	190	38	32	25	149	107		22	24	49	97	143		-4	236	.463
22	Swansea City	152	29	25	22	115	92		21	16	39	76	113		-14	191	.464
23	Charlton Athletic	152	30	19	27	99	99		17	20	39	69	125		-56	180	.438
24	Norwich City	152	28	24	24	99	100		9	22	45	64	163		-100	157	.395
25	Hull City	152	21	20	35	79	110		11	21	44	65	133		-99	137	.345
26	Wolverhampton Wndrs	152	23	18	35	85	130		9	22	45	71	151		-125	136	.342
27	Crystal Palace	114	20	11	26	60	69		13	16	28	61	92		-40	126	.408
28	Reading	114	23	12	22	71	78		9	11	37	65	108		-50	119	.382
29	Queens Park Rangers	114	15	18	24	60	77		7	8	42	55	122		-84	92	.307
30	Leicester City	76	10	15	13	47	50		7	8	23	47	70		-26	74	.375
31	Burnley	76	11	12	15	39	51		4	6	28	31	84		-65	63	.316
32	Blackpool	38	5	5	9	30	37		5	4	10	25	41		-23	39	.382
33	Sheffield United	38	7	6	6	24	21		3	2	14	8	34		-23	38	.368
34	Leeds United	38	5	7	7	25	31		3	2	14	15	48		-39	33	.329
35	Cardiff City	38	5	5	9	20	35		2	4	13	12	39		-42	30	.303
36	Watford	38	3	9	7	19	25		2	4	13	10	34		-30	28	.303
37	Derby County	38	1	5	13	12	43		0	3	16	8	46		-69	11	.132
