1,Manchester City,1045880000,304103000,741777000,30907375
2,Chelsea,1128149000,453325000,674824000,28117667
3,Manchester United,870450000,430590000,439860000,18327500
4,Liverpool,844805000,491290000,353515000,14729792
5,Aston Villa,411790000,229525000,182265000,7594375
6,Tottenham,658700000,499567500,159132500,6630521
7,Sunderland,324745000,167080000,157665000,6569375
8,Newcastle,458565000,304325000,154240000,6426667
9,Arsenal,541565000,405174000,136391000,5682958
10,West Bromwich Albion,173150000,86376501,86773499,3615562
11,West Ham,281182000,201282000,79900000,3329167
12,Crystal Palace,132260000,58540000,73720000,3071667
13,Everton,319545500,246086000,73459500,3060813
14,Stoke City,112765000,47630000,65135000,2713958
15,Leicester,114000000,55475000,58525000,2438542
16,Bournemouth,31485000,10095000,21390000,891250
17,Norwich City,88545000,67195000,21350000,889583
18,Swansea City,84877500,66160000,18717500,779896
19,Watford,46845000,53500000,-6655000,-277292
20,Southampton,212687500,223845000,-11157500,-464896
