Alan Shearer,260,87
Robbie Fowler,163,60
Wayne Rooney,187,83
Thierry Henry,175,55
Frank Lampard,177,85
Les Ferdinand,149,56
Andrew Cole,187,83
Michael Owen,150,70
Robin van Persie,144,67
Jimmy Floyd Hasselbaink,127,50
Teddy Sheringham,147,64
Nicolas Anelka,125,56
Dwight Yorke,123,51
Emile Heskey,110,54
Ian Wright,113,51
Robbie Keane,126,49
Darren Bent,106,45
Peter Crouch,95,41
Ryan Giggs,109,60
Paul Scholes,107,48
Emmanuel Adebayor,96,50
Ruud van Nistelrooy,95,47
Dion Dublin,111,52
James Beattie,91,31
Jermain Defoe,132,48
Chris Sutton,83,38
Didier Drogba,104,35
Kevin Campbell,82,40
Mark Viduka,92,34
Louis Saha,85,36
Carlos Tevez,84,29
Ole-Gunnar Solskjaer,91,38
Dennis Bergkamp,87,41
Steven Gerrard,120,51
Kevin Davies,87,30
Gary Speed,81,34
Aiyegbeni Yakubu,96,31
Sergio Aguero,85,32
Dimitar Berbatov,94,34
Cristiano Ronaldo,84,27
Matt Le Tissier,102,45
Fernando Torres,85,28
Kevin Nolan,69,30
Craig Bellamy,79,41
Gabriel Agbonlahor,72,40
Tony Cottee,78,33
Kevin Gallacher,56,18
Luis Suarez,69,34
Kevin Phillips,92,45
Gianfranco Zola,59,18
John Hartson,55,17
Duncan Ferguson,69,24
Chris Armstrong,72,30
Robert Pires,62,25
Stan Collymore,62,18
David Beckham,62,36
Niall Quinn,59,26
Lee Bowyer,57,27
Eidur Gudjohnsen,55,21
Steven Fletcher,53,30
Eric Cantona,70,30
Brian Deane,71,35
Mark Hughes,63,20
Daniel Sturridge,63,29
Harry Kewell,57,26
Jason Euell,56,19
Darius Vassell,52,23
Graham Stuart,45,15
Juan Pablo Angel,44,16
Nolberto Solano,49,18
Gary McAllister,49,19
Shoala Ameobi,43,12
Tim Cahill,56,31
Nick Barmby,53,24
Trevor Sinclair,52,16
Dirk Kuyt,51,21
Paulo Wanchope,50,21
Fredrik Ljungberg,48,26
Bobby Zamora,47,20
Christian Benteke,46,20
Steffen Iversen,40,11
Paolo Di Canio,66,24
Peter Beardsley,59,25
Theo Walcott,52,26
Robbie Earle,45,21
Dean Holdsworth,63,20
Carlton Cole,52,21
Mark Bright,50,17
Olivier Giroud,49,19
Demba Ba,43,21
Eden Hazard,37,12
Nwankwo Kanu,54,22
John Terry,39,21
John Carew,38,15
Darren Anderton,37,16
David Dunn,37,18
Clint Dempsey,57,22
Gustavo Poyet,54,21
Romelu Lukaku,52,23
Efan Ekoku,52,33
Andrew Johnson,51,22
Paul Merson,46,16
Dean Saunders,45,21
Alan Smith,45,17
