Alan Shearer,260,87
Robbie Fowler,163,60
Wayne Rooney,187,83
Thierry Henry,175,55
Frank Lampard,177,85
Les Ferdinand,149,56
Andrew Cole,187,83
Michael Owen,150,70
Robin van Persie,144,67
Jimmy Floyd Hasselbaink,127,50
Teddy Sheringham,147,64
Nicolas Anelka,125,56
Dwight Yorke,123,51
Emile Heskey,110,54
Ian Wright,113,51
Robbie Keane,126,49
Darren Bent,106,45
Peter Crouch,95,41
Ryan Giggs,109,60
Paul Scholes,107,48
Emmanuel Adebayor,96,50
Ruud van Nistelrooy,95,47
Dion Dublin,111,52
James Beattie,91,31
Jermain Defoe,132,48
Chris Sutton,83,38
Didier Drogba,104,35
Kevin Campbell,82,40
Mark Viduka,92,34
Louis Saha,85,36
